DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
017,Auburn,2014,1096342700.00 ,4996.00 ,219444.00 ,3794.00 ,207
017,Auburn,2015,1142620100.00 ,5012.00 ,227977.00 ,3935.00 ,210
017,Auburn,2016,1168333700.00 ,5016.00 ,232921.00 ,4214.00 ,199
017,Auburn,2017,1209218500.00 ,5035.00 ,240163.00 ,4405.00 ,
018,Avon,2009,377969900.00 ,1276.00 ,296215.00 ,3155.00 ,225
018,Avon,2010,362902100.00 ,1275.00 ,284629.00 ,3097.00 ,246
018,Avon,2011,341602100.00 ,1274.00 ,268134.00 ,3290.00 ,236
018,Avon,2012,340066400.00 ,1279.00 ,265885.00 ,3611.00 ,204
018,Avon,2013,339207600.00 ,1278.00 ,265421.00 ,3888.00 ,187
018,Avon,2014,339905400.00 ,1282.00 ,265137.00 ,4218.00 ,171
018,Avon,2015,340511900.00 ,1282.00 ,265610.00 ,4348.00 ,176
018,Avon,2016,359592700.00 ,1280.00 ,280932.00 ,4807.00 ,154
018,Avon,2017,354084800.00 ,1282.00 ,276197.00 ,4773.00 ,
019,Ayer,2009,402829400.00 ,1391.00 ,289597.00 ,3073.00 ,237
019,Ayer,2010,392145500.00 ,1421.00 ,275964.00 ,3171.00 ,234
019,Ayer,2011,397365100.00 ,1459.00 ,272354.00 ,3293.00 ,234
019,Ayer,2012,400335000.00 ,1474.00 ,271598.00 ,3558.00 ,213
019,Ayer,2013,400268100.00 ,1495.00 ,267738.00 ,3649.00 ,217
019,Ayer,2014,404173800.00 ,1518.00 ,266254.00 ,3749.00 ,214
019,Ayer,2015,419991200.00 ,1542.00 ,272368.00 ,3982.00 ,205
019,Ayer,2016,439292900.00 ,1561.00 ,281418.00 ,4089.00 ,210
019,Ayer,2017,471370600.00 ,1584.00 ,297582.00 ,4282.00 ,
020,Barnstable,2009,,,,,
020,Barnstable,2010,,,,,
020,Barnstable,2011,,,,,
020,Barnstable,2012,,,,,
020,Barnstable,2013,,,,,
020,Barnstable,2014,,,,,
020,Barnstable,2015,,,,,
020,Barnstable,2016,,,,,
020,Barnstable,2017,,,,,
021,Barre,2009,350476500.00 ,1516.00 ,231185.00 ,2469.00 ,306
021,Barre,2010,329397200.00 ,1528.00 ,215574.00 ,2662.00 ,295
021,Barre,2011,314757100.00 ,1531.00 ,205589.00 ,2782.00 ,291
021,Barre,2012,290105400.00 ,1535.00 ,188994.00 ,2725.00 ,301
021,Barre,2013,284315200.00 ,1532.00 ,185584.00 ,2847.00 ,301
021,Barre,2014,270210100.00 ,1542.00 ,175234.00 ,2814.00 ,307
021,Barre,2015,273408000.00 ,1545.00 ,176963.00 ,3299.00 ,271
021,Barre,2016,282964100.00 ,1555.00 ,181970.00 ,3239.00 ,294
021,Barre,2017,278888000.00 ,1496.00 ,186422.00 ,3486.00 ,
022,Becket,2009,415310100.00 ,1676.00 ,247798.00 ,1977.00 ,326
022,Becket,2010,429375400.00 ,1682.00 ,255277.00 ,2029.00 ,324
022,Becket,2011,416779300.00 ,1686.00 ,247200.00 ,2180.00 ,324
022,Becket,2012,415069600.00 ,1692.00 ,245313.00 ,2333.00 ,322
022,Becket,2013,414339200.00 ,1694.00 ,244592.00 ,2353.00 ,325
022,Becket,2014,391382200.00 ,1697.00 ,230632.00 ,2408.00 ,323
022,Becket,2015,394264800.00 ,1701.00 ,231784.00 ,2422.00 ,325
022,Becket,2016,396674800.00 ,1700.00 ,233338.00 ,2441.00 ,327
022,Becket,2017,395772900.00 ,1690.00 ,234185.00 ,2468.00 ,
023,Bedford,2009,1703870900.00 ,3301.00 ,516168.00 ,6416.00 ,37
023,Bedford,2010,1680964970.00 ,3318.00 ,506620.00 ,6627.00 ,40
023,Bedford,2011,1701214990.00 ,3313.00 ,513497.00 ,7358.00 ,35
023,Bedford,2012,1720152900.00 ,3319.00 ,518274.00 ,7883.00 ,30
023,Bedford,2013,1775053600.00 ,3426.00 ,518113.00 ,7963.00 ,34
023,Bedford,2014,1846808100.00 ,3429.00 ,538585.00 ,8461.00 ,31
023,Bedford,2015,2021593295.00 ,3434.00 ,588699.00 ,8607.00 ,33
023,Bedford,2016,2051755812.00 ,3444.00 ,595748.00 ,9103.00 ,28
023,Bedford,2017,2214988834.00 ,3450.00 ,642026.00 ,9508.00 ,
024,Belchertown,2009,1110712500.00 ,4169.00 ,266422.00 ,3719.00 ,160
024,Belchertown,2010,1073658400.00 ,4185.00 ,256549.00 ,3812.00 ,161
024,Belchertown,2011,1056751300.00 ,4202.00 ,251488.00 ,3936.00 ,162
024,Belchertown,2012,1030200300.00 ,4224.00 ,243892.00 ,4039.00 ,163
024,Belchertown,2013,1031783400.00 ,4246.00 ,243001.00 ,4158.00 ,165
024,Belchertown,2014,1032179900.00 ,4251.00 ,242809.00 ,4303.00 ,167
024,Belchertown,2015,1061679100.00 ,4273.00 ,248462.00 ,4445.00 ,165
024,Belchertown,2016,1083230100.00 ,4314.00 ,251096.00 ,4512.00 ,173
024,Belchertown,2017,1109220700.00 ,4345.00 ,255287.00 ,4646.00 ,
025,Bellingham,2009,1372465115.00 ,4500.00 ,304992.00 ,3184.00 ,218
025,Bellingham,2010,1243306415.00 ,4505.00 ,275984.00 ,3301.00 ,219
025,Bellingham,2011,1197278095.00 ,4519.00 ,264943.00 ,3473.00 ,206
025,Bellingham,2012,1157491425.00 ,4531.00 ,255460.00 ,3589.00 ,206
025,Bellingham,2013,1171165825.00 ,4559.00 ,256891.00 ,3710.00 ,204
025,Bellingham,2014,1175763220.00 ,4571.00 ,257222.00 ,3771.00 ,212
025,Bellingham,2015,1212589075.00 ,4581.00 ,264700.00 ,3772.00 ,228
025,Bellingham,2016,1271582740.00 ,4624.00 ,274996.00 ,3930.00 ,224
025,Bellingham,2017,1339030180.00 ,4671.00 ,286669.00 ,4111.00 ,
026,Belmont,2009,3401345000.00 ,4518.00 ,752843.00 ,8951.00 ,12
026,Belmont,2010,3422695000.00 ,4516.00 ,757904.00 ,9216.00 ,12
026,Belmont,2011,3302706800.00 ,4519.00 ,730849.00 ,9676.00 ,12
026,Belmont,2012,3371240000.00 ,4517.00 ,746345.00 ,9964.00 ,13
