JURISDICTIONCODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
018,Avon,2013,"5,929,765",0,"3,715,355","5,202,635","1,949,900","16,797,655",35.30,64.70
018,Avon,2014,"6,385,204",0,"3,859,161","5,409,376","2,001,017","17,654,758",36.17,63.83
018,Avon,2015,"6,576,549",0,"4,021,741","5,470,495","2,119,758","18,188,543",36.16,63.84
018,Avon,2016,"7,240,836",0,"4,232,121","5,866,375","1,702,590","19,041,922",38.03,61.97
019,Ayer,2009,"6,901,306",0,"2,312,950","3,576,934","2,529,388","15,320,578",45.05,54.95
019,Ayer,2010,"7,209,553",0,"2,377,577","3,710,936","2,729,941","16,028,007",44.98,55.02
019,Ayer,2011,"7,555,263",0,"2,629,975","3,776,420","2,778,039","16,739,697",45.13,54.87
019,Ayer,2012,"8,186,182",0,"2,654,587","3,828,721","2,947,746","17,617,236",46.47,53.53
019,Ayer,2013,"8,465,859",0,"2,747,196","4,016,960","2,980,395","18,210,410",46.49,53.51
019,Ayer,2014,"8,855,809",0,"2,881,709","4,172,311","3,048,340","18,958,169",46.71,53.29
019,Ayer,2015,"9,401,637",0,"3,149,086","4,287,119","3,734,921","20,572,763",45.70,54.30
019,Ayer,2016,"9,810,403",0,"3,283,305","4,483,660","3,702,286","21,279,654",46.10,53.90
020,Barnstable,2009,"79,506,446",0,"7,979,830","481,022","1,097,160","89,064,458",89.27,10.73
020,Barnstable,2010,"81,208,025",0,"8,788,461","561,831","1,211,545","91,769,862",88.49,11.51
020,Barnstable,2011,"83,565,582",0,"8,995,868","598,906","1,418,747","94,579,103",88.36,11.64
020,Barnstable,2012,"86,077,491",0,"9,149,186","603,948","1,494,754","97,325,379",88.44,11.56
020,Barnstable,2013,"88,546,873",0,"9,650,883","633,494","1,554,771","100,386,021",88.21,11.79
020,Barnstable,2014,"91,357,707",0,"9,917,669","652,080","1,594,563","103,522,019",88.25,11.75
020,Barnstable,2015,"94,113,481",0,"10,119,591","660,174","1,783,240","106,676,486",88.22,11.78
020,Barnstable,2016,"97,234,780",0,"10,654,239","671,300","1,986,749","110,547,068",87.96,12.04
021,Barre,2009,"4,675,832",0,"289,746","60,855","127,154","5,153,587",90.73,9.27
021,Barre,2010,"5,046,719",0,"301,965","73,755","152,197","5,574,636",90.53,9.47
021,Barre,2011,"5,265,296",0,"326,920","80,870","170,775","5,843,861",90.10,9.90
021,Barre,2012,"5,198,594",0,"348,034","92,323","223,222","5,862,173",88.68,11.32
021,Barre,2013,"5,361,194",0,"362,497","99,150","322,772","6,145,613",87.24,12.76
021,Barre,2014,"5,312,883",0,"400,988","109,277","382,930","6,206,078",85.61,14.39
